file_type,file_name,file_year,turbine_id,year_folder,size_mb
SCADA,Turbine_Data_Kelmarsh_1_2016-01-03_-_2017-01-01_228.csv,2016,1,kelmarsh_2016,86.742
SCADA,Turbine_Data_Kelmarsh_2_2016-01-03_-_2017-01-01_229.csv,2016,2,kelmarsh_2016,86.755
SCADA,Turbine_Data_Kelmarsh_3_2016-01-03_-_2017-01-01_230.csv,2016,3,kelmarsh_2016,86.569
SCADA,Turbine_Data_Kelmarsh_4_2016-01-03_-_2017-01-01_231.csv,2016,4,kelmarsh_2016,86.431
SCADA,Turbine_Data_Kelmarsh_5_2016-01-03_-_2017-01-01_232.csv,2016,5,kelmarsh_2016,86.64
SCADA,Turbine_Data_Kelmarsh_6_2016-01-03_-_2017-01-01_233.csv,2016,6,kelmarsh_2016,86.076
Status,Status_Kelmarsh_1_2016-01-03_-_2017-01-01_228.csv,2016,1,kelmarsh_2016,0.245
Status,Status_Kelmarsh_2_2016-01-03_-_2017-01-01_229.csv,2016,2,kelmarsh_2016,0.209
Status,Status_Kelmarsh_3_2016-01-03_-_2017-01-01_230.csv,2016,3,kelmarsh_2016,0.334
Status,Status_Kelmarsh_4_2016-01-03_-_2017-01-01_231.csv,2016,4,kelmarsh_2016,0.224
Status,Status_Kelmarsh_5_2016-01-03_-_2017-01-01_232.csv,2016,5,kelmarsh_2016,0.246
Status,Status_Kelmarsh_6_2016-01-03_-_2017-01-01_233.csv,2016,6,kelmarsh_2016,0.37
SCADA,Turbine_Data_Kelmarsh_1_2017-01-01_-_2018-01-01_228.csv,2017,1,kelmarsh_2017,106.937
SCADA,Turbine_Data_Kelmarsh_2_2017-01-01_-_2018-01-01_229.csv,2017,2,kelmarsh_2017,107.235
SCADA,Turbine_Data_Kelmarsh_3_2017-01-01_-_2018-01-01_230.csv,2017,3,kelmarsh_2017,107.15
SCADA,Turbine_Data_Kelmarsh_4_2017-01-01_-_2018-01-01_231.csv,2017,4,kelmarsh_2017,107.152
SCADA,Turbine_Data_Kelmarsh_5_2017-01-01_-_2018-01-01_232.csv,2017,5,kelmarsh_2017,107.152
SCADA,Turbine_Data_Kelmarsh_6_2017-01-01_-_2018-01-01_233.csv,2017,6,kelmarsh_2017,106.688
Status,Status_Kelmarsh_1_2017-01-01_-_2018-01-01_228.csv,2017,1,kelmarsh_2017,0.654
Status,Status_Kelmarsh_2_2017-01-01_-_2018-01-01_229.csv,2017,2,kelmarsh_2017,0.566
Status,Status_Kelmarsh_3_2017-01-01_-_2018-01-01_230.csv,2017,3,kelmarsh_2017,0.86
Status,Status_Kelmarsh_4_2017-01-01_-_2018-01-01_231.csv,2017,4,kelmarsh_2017,0.579
Status,Status_Kelmarsh_5_2017-01-01_-_2018-01-01_232.csv,2017,5,kelmarsh_2017,0.684
Status,Status_Kelmarsh_6_2017-01-01_-_2018-01-01_233.csv,2017,6,kelmarsh_2017,1.021
SCADA,Turbine_Data_Kelmarsh_1_2018-01-01_-_2019-01-01_228.csv,2018,1,kelmarsh_2018,134.606
SCADA,Turbine_Data_Kelmarsh_2_2018-01-01_-_2019-01-01_229.csv,2018,2,kelmarsh_2018,134.92
SCADA,Turbine_Data_Kelmarsh_3_2018-01-01_-_2019-01-01_230.csv,2018,3,kelmarsh_2018,134.849
SCADA,Turbine_Data_Kelmarsh_4_2018-01-01_-_2019-01-01_231.csv,2018,4,kelmarsh_2018,134.829
SCADA,Turbine_Data_Kelmarsh_5_2018-01-01_-_2019-01-01_232.csv,2018,5,kelmarsh_2018,135.125
SCADA,Turbine_Data_Kelmarsh_6_2018-01-01_-_2019-01-01_233.csv,2018,6,kelmarsh_2018,134.803
Status,Status_Kelmarsh_1_2018-01-01_-_2019-01-01_228.csv,2018,1,kelmarsh_2018,0.937
Status,Status_Kelmarsh_2_2018-01-01_-_2019-01-01_229.csv,2018,2,kelmarsh_2018,0.829
Status,Status_Kelmarsh_3_2018-01-01_-_2019-01-01_230.csv,2018,3,kelmarsh_2018,1.11
Status,Status_Kelmarsh_4_2018-01-01_-_2019-01-01_231.csv,2018,4,kelmarsh_2018,0.873
Status,Status_Kelmarsh_5_2018-01-01_-_2019-01-01_232.csv,2018,5,kelmarsh_2018,1.006
Status,Status_Kelmarsh_6_2018-01-01_-_2019-01-01_233.csv,2018,6,kelmarsh_2018,1.405
SCADA,Turbine_Data_Kelmarsh_1_2019-01-01_-_2020-01-01_228.csv,2019,1,kelmarsh_2019,140.436
SCADA,Turbine_Data_Kelmarsh_2_2019-01-01_-_2020-01-01_229.csv,2019,2,kelmarsh_2019,143.49
SCADA,Turbine_Data_Kelmarsh_3_2019-01-01_-_2020-01-01_230.csv,2019,3,kelmarsh_2019,143.284
SCADA,Turbine_Data_Kelmarsh_4_2019-01-01_-_2020-01-01_231.csv,2019,4,kelmarsh_2019,143.171
SCADA,Turbine_Data_Kelmarsh_5_2019-01-01_-_2020-01-01_232.csv,2019,5,kelmarsh_2019,143.577
SCADA,Turbine_Data_Kelmarsh_6_2019-01-01_-_2020-01-01_233.csv,2019,6,kelmarsh_2019,143.584
Status,Status_Kelmarsh_1_2019-01-01_-_2020-01-01_228.csv,2019,1,kelmarsh_2019,0.696
Status,Status_Kelmarsh_2_2019-01-01_-_2020-01-01_229.csv,2019,2,kelmarsh_2019,0.686
Status,Status_Kelmarsh_3_2019-01-01_-_2020-01-01_230.csv,2019,3,kelmarsh_2019,1.046
Status,Status_Kelmarsh_4_2019-01-01_-_2020-01-01_231.csv,2019,4,kelmarsh_2019,0.776
Status,Status_Kelmarsh_5_2019-01-01_-_2020-01-01_232.csv,2019,5,kelmarsh_2019,0.805
Status,Status_Kelmarsh_6_2019-01-01_-_2020-01-01_233.csv,2019,6,kelmarsh_2019,1.213
SCADA,Turbine_Data_Kelmarsh_1_2020-01-01_-_2021-01-01_228.csv,2020,1,kelmarsh_2020,194.659
SCADA,Turbine_Data_Kelmarsh_2_2020-01-01_-_2021-01-01_229.csv,2020,2,kelmarsh_2020,195.765
SCADA,Turbine_Data_Kelmarsh_3_2020-01-01_-_2021-01-01_230.csv,2020,3,kelmarsh_2020,195.397
SCADA,Turbine_Data_Kelmarsh_4_2020-01-01_-_2021-01-01_231.csv,2020,4,kelmarsh_2020,195.37
SCADA,Turbine_Data_Kelmarsh_5_2020-01-01_-_2021-01-01_232.csv,2020,5,kelmarsh_2020,195.74
SCADA,Turbine_Data_Kelmarsh_6_2020-01-01_-_2021-01-01_233.csv,2020,6,kelmarsh_2020,195.98
Status,Status_Kelmarsh_1_2020-01-01_-_2021-01-01_228.csv,2020,1,kelmarsh_2020,0.768
Status,Status_Kelmarsh_2_2020-01-01_-_2021-01-01_229.csv,2020,2,kelmarsh_2020,0.664
Status,Status_Kelmarsh_3_2020-01-01_-_2021-01-01_230.csv,2020,3,kelmarsh_2020,0.984
Status,Status_Kelmarsh_4_2020-01-01_-_2021-01-01_231.csv,2020,4,kelmarsh_2020,0.757
Status,Status_Kelmarsh_5_2020-01-01_-_2021-01-01_232.csv,2020,5,kelmarsh_2020,0.826
Status,Status_Kelmarsh_6_2020-01-01_-_2021-01-01_233.csv,2020,6,kelmarsh_2020,1.067
SCADA,Turbine_Data_Kelmarsh_1_2021-01-01_-_2022-01-01_228.csv,2021,1,kelmarsh_2021,197.195
SCADA,Turbine_Data_Kelmarsh_2_2021-01-01_-_2022-01-01_229.csv,2021,2,kelmarsh_2021,198.041
SCADA,Turbine_Data_Kelmarsh_3_2021-01-01_-_2022-01-01_230.csv,2021,3,kelmarsh_2021,197.077
SCADA,Turbine_Data_Kelmarsh_4_2021-01-01_-_2022-01-01_231.csv,2021,4,kelmarsh_2021,197.645
SCADA,Turbine_Data_Kelmarsh_5_2021-01-01_-_2022-01-01_232.csv,2021,5,kelmarsh_2021,196.28
SCADA,Turbine_Data_Kelmarsh_6_2021-01-01_-_2022-01-01_233.csv,2021,6,kelmarsh_2021,197.752
Status,Status_Kelmarsh_1_2021-01-01_-_2022-01-01_228.csv,2021,1,kelmarsh_2021,0.912
Status,Status_Kelmarsh_2_2021-01-01_-_2022-01-01_229.csv,2021,2,kelmarsh_2021,0.705
Status,Status_Kelmarsh_3_2021-01-01_-_2022-01-01_230.csv,2021,3,kelmarsh_2021,1.122
Status,Status_Kelmarsh_4_2021-01-01_-_2022-01-01_231.csv,2021,4,kelmarsh_2021,0.942
Status,Status_Kelmarsh_5_2021-01-01_-_2022-01-01_232.csv,2021,5,kelmarsh_2021,1.003
Status,Status_Kelmarsh_6_2021-01-01_-_2022-01-01_233.csv,2021,6,kelmarsh_2021,1.282
SCADA,Turbine_Data_Kelmarsh_1_2022-01-01_-_2023-01-01_228.csv,2022,1,kelmarsh_2022,200.436
SCADA,Turbine_Data_Kelmarsh_2_2022-01-01_-_2023-01-01_229.csv,2022,2,kelmarsh_2022,202.226
SCADA,Turbine_Data_Kelmarsh_3_2022-01-01_-_2023-01-01_230.csv,2022,3,kelmarsh_2022,201.863
SCADA,Turbine_Data_Kelmarsh_4_2022-01-01_-_2023-01-01_231.csv,2022,4,kelmarsh_2022,200.742
SCADA,Turbine_Data_Kelmarsh_5_2022-01-01_-_2023-01-01_232.csv,2022,5,kelmarsh_2022,202.207
SCADA,Turbine_Data_Kelmarsh_6_2022-01-01_-_2023-01-01_233.csv,2022,6,kelmarsh_2022,201.966
Status,Status_Kelmarsh_1_2022-01-01_-_2023-01-01_228.csv,2022,1,kelmarsh_2022,1.029
Status,Status_Kelmarsh_2_2022-01-01_-_2023-01-01_229.csv,2022,2,kelmarsh_2022,0.969
Status,Status_Kelmarsh_3_2022-01-01_-_2023-01-01_230.csv,2022,3,kelmarsh_2022,1.24
Status,Status_Kelmarsh_4_2022-01-01_-_2023-01-01_231.csv,2022,4,kelmarsh_2022,0.865
Status,Status_Kelmarsh_5_2022-01-01_-_2023-01-01_232.csv,2022,5,kelmarsh_2022,1.016
Status,Status_Kelmarsh_6_2022-01-01_-_2023-01-01_233.csv,2022,6,kelmarsh_2022,1.208
